OBSNAME	PABI	BALN	CAMB	APIA	CART	TULI	BBET	BRAS	CARY	CHEN	BCOR	CUPR	CYPE	RDRY	ELAE	ERIC	FABA	FFAG	OFRA	PLAR	MMYR	ONAG	POXR	PAPA	PPIC	PPIN	PPLA	POAC	POLE	POLY	SPOP	FQUE	RANU	ROSA	SSAL	SAXI	SCRO	RTHA	ULMA
WSM034	0	23.91	0	0	0.707	0.353	19.081	0.471	0.118	0	0	0.118	22.497	0.471	0	1.178	0	0	0	0	0.118	0	1.178	0	18.021	1.531	0.471	4.947	0	0	0.118	0	0.471	0.353	2.827	1.06	0	0	0
WSM035	0	19.065	0.158	0	0.263	0.21	15.651	0.158	0	0.053	0	0	40.074	0.105	0	0.42	0	0	0	0	0.105	0	0.315	0	16.754	1.155	0	1.943	0	0	0	0	0.053	0.42	2.994	0.053	0.053	0	0
WSM036	0	29.92	0.4	0	0.16	0.24	20.88	0.32	0.16	0.16	0	0	19.84	0.16	0	0.16	0	0	0	0	0	0	0.48	0	20.64	0.88	0	2.32	0	0	0.08	0	0	0.56	2.4	0.24	0	0	0
WSM037	0	42.351	0	0	1.866	0.746	23.881	0	0.187	0	0	0	8.582	0	0	5.41	0	0	0	0	0.187	0.187	0	0	6.157	0.933	0.373	6.343	0	0	0	0	0.746	0.373	1.679	0	0	0	0
WSM038	0	17.907	0	0	1.512	0.465	21.628	0.116	0.116	0.698	0	0.233	30.581	0	0	0.698	0	0	0	0	0	0	0.349	0	14.186	0.814	0	6.86	0	0	0	0	0.116	0.581	2.674	0.465	0	0	0
WSM039	0	16.073	0.067	0	1.412	0.202	20.915	0.134	0	0.067	0	0	29.993	0.471	0.067	1.21	0	0	0	0	0.067	0	1.278	0	14.324	0.807	0.067	6.792	0	0.067	0.134	0	0.134	1.009	4.371	0.336	0	0	0
WSM040	0	16.832	0	0	2.818	0.99	17.974	0.152	0.305	0	0	0	26.047	0.609	0	0.762	0	0	0	0	0.076	0	1.219	0	10.663	0.457	0.152	14.928	0	0.076	0	0	0.609	0.305	4.494	0.533	0	0	0
WSM041	0	41.406	0	0	0.781	0.195	26.367	0	0.195	0.195	0	0	10.742	0	0	1.758	0	0	0	0	0.195	0.391	0	0	8.984	0.195	0	6.055	0	0	0	0	0.195	0.391	1.953	0	0	0	0
WSM042	0	47.967	0	0	0	0	19.106	0	0.203	0	0	0	5.285	0	0.407	3.455	0	0	0	0	0	0	0	0	19.715	1.423	0	1.423	0	0	0	0	0	0.407	0.61	0	0	0	0
WSM043	0	20.87	0	0	0	0	33.913	0	0	0	0	0	14.783	0	0	1.739	0	0	0	0	0	0	0.87	0	16.522	0	0	6.087	0	0	0	0	0	0.87	4.348	0	0	0	0
WSM044	0	38.041	0	0	0.377	0.753	32.58	0	0	0	0	0	12.053	0	0	3.013	0	0	0	0	0.377	0	0.188	0	4.708	0.377	0	3.766	0	0	0	0	0.188	0.753	2.825	0	0	0	0
WSM045	0	36.563	0	0	2.011	0.366	23.583	0	0	0	0	0	12.066	0	0	7.313	0	0	0	0	0	0	0.183	0	10.055	0.548	0	5.302	0	0	0	0	0	0.731	1.28	0	0	0	0
WSM046	0.17	36.457	0	0	1.363	0.17	29.302	0	0	0	0	0	8.688	0	0.17	4.089	0	0	0	0	0	0.17	0.341	0	9.71	0.852	0	7.155	0	0	0	0	0	0	1.363	0	0	0	0
WSM047	0	30.584	0	0	1.546	0.172	39.863	0	0.344	0	0	0	7.904	0	0	4.296	0	0	0	0	0	0	0.515	0	6.186	1.375	0	4.296	0	0	0	0	0.859	0.859	1.203	0	0	0	0
WSM048	0	34.504	0	0	0.207	0	23.76	0	0.207	0.207	0	0	15.702	0	0.207	5.165	0	0	0	0	0	0	0	0	12.19	1.653	0	3.719	0	0	0	0	0	0.413	2.066	0	0	0	0
WSM049	0	31.393	0	0	0.353	0.353	40.212	0	0	0	0	0	7.76	0	0.176	6.173	0	0	0	0	0	0	0	0	7.937	1.411	0	3.351	0	0	0	0	0	0	0.882	0	0	0	0
WSM050	0	27.922	0	0	2.078	0.13	32.597	0	0.519	0	0	0	10	0	0	10.649	0	0	0	0	0	0	0.13	0	6.494	0.13	0	5.455	0	0	0	0	0	2.078	1.818	0	0	0	0
WSM051	0	35.249	0	0	1.149	0.766	23.372	0	0	0	0	0	11.303	0	0	3.257	0	0	0	0	0	0	0.766	0	10.536	1.916	0	9.387	0	0	0	0	0.192	0	2.107	0	0	0	0
WSM052	0	29.705	0	0	2.494	0.454	44.898	0	0	0	0	0	6.122	0	0.454	3.628	0	0	0	0	0	0	0.68	0	4.762	0.454	0	3.175	0	0	0	0	0.227	0.907	2.041	0	0	0	0
WSM053	0	33.537	0	0	0.813	0	26.829	0	0	0.203	0	0	17.276	0	0	3.049	0	0	0	0	0	0	0.203	0	10.569	1.016	0	3.252	0	0	0	0	0.813	0.61	1.829	0	0	0	0
WSM054	0	16.538	0	0	1.731	0.769	39.423	0	0.192	0	0	0	14.231	0	0	2.308	0	0	0	0	0	0	0.192	0	9.038	2.885	0	10	0	0	0	0	1.346	0.385	0.962	0	0	0	0
WSM055	0	30.417	0	0	0.795	0	21.471	0	0	0.398	0	0	14.911	0	0	7.952	0	0	0	0	0.199	0	0	0	18.29	1.988	0	1.59	0	0	0	0	0	0.199	1.789	0	0	0	0
WSM056	0	12.673	0	0	0.461	0.23	40.553	0	0	0	0	0	15.438	0	0	13.594	0.23	0	0	0	0.23	0	0	0	8.295	0.461	0	2.995	0	0	0	0	0.23	1.382	2.995	0	0	0	0.23
WSM057	0	20.854	0.164	0	0.657	0	37.931	0	0	0.328	0	0	18.719	0	0	10.181	0	0	0	0	0	0.164	0	0	3.448	0.164	0	4.105	0	0	0	0	0.164	0.328	2.791	0	0	0	0
WSM058	0	21.773	0	0	0.963	0.385	19.075	0	0.193	0	0	0	22.929	0	0	4.817	0	0	0	0	0	0	0.385	0	15.414	0.963	0	7.9	0	0	0	0	0.193	0.771	4.239	0	0	0	0
WSM059	0	28.957	0	0	2.158	0	19.065	0	0.18	0.18	0	0	24.281	0	0	2.158	0	0	0	0	0	0	0.18	0	6.295	0.719	0	8.633	0	0	0	0	1.079	0.899	5.216	0	0	0	0
WSM060	0	11.162	0	0	4.146	0.82	48.975	0.182	0.228	0	0	0	8.246	0.137	0.774	1.868	0.046	0	0	0	0	0.046	2.187	0	6.834	0.137	0	10.888	0	0	0	0	0.046	0.273	2.779	0.228	0	0	0
WSM061	0	19.463	0	0	1.79	0.224	28.635	0	0	0	0	0	14.318	0	0.224	11.409	0	0	0	0	0	0	0.224	0	13.423	2.013	0	7.159	0	0	0	0	0	0.671	0.447	0	0	0	0
WSM062	0	15.496	0	0	4.752	1.24	27.893	0	0	0	0	0	10.95	0	0.413	4.959	0	0	0	0	0.207	0	0.207	0	15.909	2.273	0	11.157	0	0	0	0	0.413	0.826	3.306	0	0	0	0
WSM063	0	11.633	0	0	8.725	1.342	19.911	0	0.447	0.224	0	0	16.779	0	0	3.356	0.224	0	0	0	0	0	0	0	9.396	5.145	0	17.002	0	0	0	0	1.79	0.224	3.803	0	0	0	0
WSM064	0	31.919	0	0	1.818	0.202	23.636	0	0	0	0	0	6.667	0	0.606	4.646	0.202	0	0	0	0.202	0.202	0	0	19.394	1.212	0	5.859	0	0	0	0	0.202	1.01	2.222	0	0	0	0
WSM065	0	15.48	0	0	0.712	0.178	26.335	0	0.178	0	0	0	26.512	0	0	6.05	0	0	0	0	0	0	0	0	9.786	2.313	0	9.253	0	0	0	0	0	0.89	2.313	0	0	0	0
