OBSNAME	LONG	LATI
WB035	-156.83	61.63
WB036	-130.65	61.683
WB037	-118.7	62.05
WB038	-121.05	62.167
WB039	-122.233	62.333
WB041	-114.35	62.433
WB042	-159.55	62.49
WB043	-141.07	62.65
WB044	-144.19	62.71
WB045	-150.12	62.73
WB046	-122.967	62.75
WB047	-141.55	62.89
WB048	-120.1	62.9
WB049	-143.8	62.91
WB050	-159.57	62.94
WB051	-145.51	62.95
WB052	-141.63	62.97
WB053	-154.62	63.02
WB054	-146.063	63.029
WB055	-158.08	63.05
WB056	-145.94	63.05
WB057	-145.7	63.067
WB058	-145.5	63.12
WB059	-145.65	63.19
WB060	-147.65	63.2
WB061	-122.967	63.217
WB062	-142.29	63.23
WB063	-153.56	63.25
WB064	-147.9	63.29
WB065	-149.1	63.35
WB066	-143.54	63.36
WB067	-148.67	63.38
WB068	-151.083	63.483
WB069	-159.38	63.51
WB070	-157.92	63.52
WB071	-152.52	63.54
WB072	-143.93	63.57
WB073	-122.733	63.617
WB074	-144.65	63.71
WB075	-144.65	63.711
WB076	-148.85	63.72
WB077	-144.71	63.74
WB078	-120.433	63.817
WB079	-149.03	63.85
WB080	-122.617	63.883
WB081	-151.5	63.9
WB082	-158.85	63.91
WB083	-151.58	63.92
WB084	-144.658	63.94
WB085	-144.75	64,0000
WB086	-145.6	64.09
WB087	-110.567	64.117
WB088	-110.583	64.133
WB089	-127.617	64.167
WB090	-145.8	64.22
WB091	-146.67	64.31
WB092	-151.267	64.333
WB093	-151.27	64.33
WB094	-123.5	64.4
WB095	-122.7	64.417
WB096	-146.908	64.444
WB097	-146.9075	64.4444
WB098	-157.93	64.6
WB100	-128.083	64.65
WB101	-154.57	64.83
WB102	-123.5	64.833
WB103	-115.9667	64.8333
WB104	-156.84	64.92
WB105	-127.483	65.017
WB106	-150.38	65.03
WB107	-153.12	65.07
WB108	-151.6	65.12
WB109	-127.05	65.217
WB110	-126.117	65.217
WB111	-126.417	65.233
WB112	-156.91	65.28
WB113	-143.12	65.38
WB114	-144.48	65.47
WB115	-127.75	65.517
WB116	-144.53	65.52
WB117	-153.7	65.58
WB118	-157.16	65.64
WB119	-150.15	65.65
WB120	-155.57	65.67
WB121	-128.567	65.683
WB122	-128.167	65.75
WB123	-128,0000	65.75
WB124	-126.167	65.833
WB125	-151.47	65.92
WB126	-135.933	65.95
WB127	-142.97	66,0000
WB128	-135.7	66.0333
WB129	-150.28	66.05
WB130	-145.78	66.05
WB131	-135.65	66.05
WB132	-147.53	66.07
WB133	-146.93	66.08
WB134	-145.87	66.1
WB135	-151.45	66.12
WB136	-151.8	66.13
WB137	-127.5	66.167
WB138	-147.48	66.2
WB139	-143.75	66.25
WB140	-159.13	66.33
WB141	-143.53	66.35
