stations	Latitude	Longitude
630	61.41	5.06
631	61.73	5.17
632	61.84	5.15
633	62.02	5.41
634	62.46	6.15
635	62.6	6.6
636	62.84	7.1
637	63.1	7.72
638	63.48	9.16
645	38.4	-73.24
646	38.86	-72.71
648	39.22	-72.28
650	39.26	-72.3
651	39.29	-72.42
652	43.07	-55.83
653	43.48	-54.87
654	44.68	-55.52
655	44.5	-55.87
656	45.37	-56.61
657	43.3	-57.64
658	43.31	-57.33
659	42.46	-59.61
660	43.12	-59.99
661	43.41	-60
662	43.05	-62.16
663	43.53	-61.82
664	43.18	-63.54
665	42.89	-61.74
666	42.92	-61.82
667	42.73	-61.64
668	42.17	-62.59
669	43.88	-62.8
670	45.11	-60.79
671	45.16	-60.83
672	45.17	-60.84
673	45.2	-60.86
674	45.21	-60.87
675	45.22	-60.9
676	45.23	-60.89
677	43.34	-63.5
682	48.85	-51.88
683	48.91	-51.8
685	43.31	-49.14
686	76.29	-74.16
687	76.29	-74.25
688	76.41	-77.46
689	76.84	-74.98
690	76.8	-74.94
691	76.96	-72.41
692	76.31	-71.87
693	77.01	-72.34
694	77.08	-76.65
695	77.79	-75.21
696	75.26	-76.08
697	75.58	-70.79
698	46.8	-8.67
699	57.03	-10.05
701	60.58	-22.07
703	43.1	-55.27
704	44.65	-55.62
705	75.85	-76.44
706	75.22	-78.71
707	76.22	-74.66
708	76.19	-71.06
710	76.58	-69.08
714	76.54	-69.08
716	76.56	-69.21
717	76.53	-69.13
718	76.53	-69.1
720	75.22	-78.71
721	75.16	-97
722	76.99	-98
723	77.26	-96.52
726	77.07	-89.52
727	75.74	-93.5
728	75	-93
729	74.25	-85.98
730	74.24	-83.06
731	73.49	-85.01
732	73.11	-84.85
733	74.54	-99.47
735	60.95	-66.43
736	73.69	-162.66
737	76.25	-167
738	71.75	-156.5
739	67.87	-167.9
740	76.12	-86.47
743	78.3	-104
746	69.75	-137.88
747	62	-178
748	62.492	-177.033
749	63	-177
750	63	-175
754	63.05	-174.45
755	59.913	-176.325
756	60.817	-177.05
757	61.12	-173.427
758	62.663	-175.645
759	63.012	-173.032
760	61.148	-172.305
761	60.537	-172.113
762	60.642	-175.133
763	58.895	-170.438
764	58.455	-169.218
765	58.367	-168.933
766	57.303	-166.058
767	57.122	-165.688
768	56.397	-165.303
769	56.058	-165.315
770	55.203	-165.298
771	55.4	-165.9
772	55.65	-166.537
773	56.25	-168.353
774	58.075	-167.85
775	60.023	-170.628
776	59.982	-171.025
777	59.488	-173.768
778	59.753	-174.412
779	60.292	-175.905
780	60.56	-176.53
781	60.983	-176.733
782	61.3	-176.497
783	61.127	-175.202
784	60.75	-174.6
785	59.595	-173.088
786	59.233	-172.567
787	58.57	-172.017
788	57.872	-171.657
789	57.042	-171.3
790	56.637	-171.133
791	56.482	-170.057
792	56.347	-167.618
793	55.312	-167.075
794	54.917	-166.975
795	53.752	-169.1
796	72.636	59.971
797	72.693	64.568
798	71	64.5
799	69.776	64.861
800	76.008	79.963
801	74.988	79.851
804	80.59	55.75
806	80.95	51.84
807	75.56	56.45
808	75.48	57.17
809	79.57	46.94
810	79.65	47.87
812	47.726	-57.289
813	47.694	-57.31
814	47.604	-57.352
815	47.576	-57.377
816	47.65	-57.934
817	47.665	-57.934
818	47.737	-58.339
819	47.741	-58.321
820	47.692	-58.36
821	48.435	-58.628
822	48.436	-58.631
823	48.437	-58.635
824	48.439	-58.64
829	43.583	-129.228
830	44.117	-127.983
831	43.55	-128.75
832	40.808	-124.55
836	42.658	-131.117
837	43.525	-131.567
838	44.883	-131.667
840	48.355	-124.14
841	59.04	-150
843	59.555	-148.308
844	59.683	-147.583
846	46.66	-134.27
848	47.033	-131.158
849	46.72	-127.542
850	49.013	-127.767
851	49.397	-128.14
852	49.21	-129.243
853	48.23	-130.03
854	48.437	-129.87
855	48.39	-127.153
856	48.063	-128.057
857	47.587	-129.507
858	47.8	-127.122
860	56.192	-136.44
861	55.3	-138.103
863	54.853	-137.893
864	47.948	-126.272
865	47.383	-124.913
866	48.302	-126.055
867	48.098	-126.017
868	48.183	-125.77
869	48.21	-125.685
870	47.935	-125.355
871	47.602	-125.758
872	44.28	-129.655
873	40.992	-127.805
874	46.3	-125.115
875	46.295	-125.613
876	44.5	-124.9
877	43.668	-125.32
878	43.168	-125.403
879	43.165	-125.087
880	44.73	-130.157
881	43.03	-126.578
882	41.833	-126
883	42.213	-128.007
884	41.803	-129.005
885	41.477	-131.22
886	41.078	-134.655
888	42.087	-126.6
889	42.745	-126.258
890	45.218	-125.575
891	44.672	-125.28
892	41.583	-130.617
893	42.198	-125.205
894	42.152	-127.573
895	41.522	-132.042
896	46.652	-129.133
897	41.267	-127.017
898	56.503	-143.877
899	57.802	-138.39
901	59.083	-143.67
903	40.422	-125.517
904	46.203	-124.242
905	38.817	-72.817
906	38.745	-72.652
907	38.825	-72.737
908	38.793	-72.717
909	38.866	-72.687
910	38.838	-72.705
911	38.854	-72.73
912	37.57	-74.57
913	39.043	-72.462
914	39.012	-72.422
915	38.122	-73.825
916	37.988	-73.853
917	38.118	-73.608
918	38.108	-73.665
919	38.163	-73.84
920	37.631	-74.152
921	37.619	-74.163
922	36.87	-74.578
923	37.817	-73.517
924	37.667	-73.767
925	37.733	-73.8
926	37.767	-73.833
927	37.783	-73.867
928	37.783	-73.867
929	37.7	-73.933
930	37.633	-73.833
931	37.617	-73.667
932	37.55	-73.583
933	37.65	-73.467
934	37.75	-73.55
935	66.15	-17.58
936	67.91	-15.45
937	68.08	-15.38
938	66.98	-15.73
939	66.73	-16.83
940	66.5	-18.85
941	67.08	-20.15
942	67.31	-19.73
943	67.63	-20.31
944	67.25	-20.5
945	67.76	-20.83
946	68.03	-20.68
947	67.91	-19.35
948	67.91	-18.83
949	67.9	-17.75
950	68.08	-17.5
951	68.58	-16.93
952	68.6	-14.66
953	68.33	-15.75
954	67.6	-17.85
955	67.46	-18.18
956	67.31	-18.36
957	67.26	-18.83
958	67.21	-19.5
959	66.9	-17.9
960	66.85	-17.85
961	63.96	-23.55
962	64.18	-25.28
963	63.71	-24.4
964	63.43	-24.65
965	64.56	-27.6
966	64.91	-27.21
967	65.48	-27.51
968	65.51	-26.22
969	65.7	-25.26
970	65.03	-25.86
971	64.03	-24.02
972	64.03	-24.02
973	64.9	-24.44
974	65.44	-26.31
975	66.68	-24.19
976	66.67	-24.19
977	67.98	-21.78
978	66.64	-20.86
979	66.62	-20.85
980	66.5	-19.5
981	66.99	-17.97
982	66.76	-18.75
983	67.58	-17.07
984	71.19	-18.47
985	68.1	-27.86
986	51.63	-6.2
987	51.35	-6.5
988	51.03	-6.15
989	51.23	-5.9
990	51.28	-6.06
991	51.08	-5.83
992	52.73	-4.46
994	70.81	-127.64
995	71.45	-133.81
996	71.15	-133.52
997	70.15	-133.52
998	70.84	-133.63
999	71.27	-128.52
1000	70.65	-123.5
1001	70.4	-139.3
1002	69.92	-138.38
1004	70.58	-122.97
1005	36.2	-4.3
1008	36.58	-3.06
1009	36.484	-3
1010	36.291	-2.905
1011	36.084	-2.85
1012	36.188	-2.847
1013	36.832	12.328
1016	37.297	9.21
1017	39.03	9.213
1018	36.778	2.663
1019	37.338	9.198
1020	36.713	2.682
1021	39.033	9.253
1022	36.738	2.642
1023	36.713	2.66
1024	39.027	9.278
1025	37.603	8.857
1026	37.595	2.748
1027	38.59	10.828
1028	38.913	9.395
1029	38.935	9.368
1030	39.035	9.24
1031	38.693	10.707
1032	37.638	8.813
1033	38.933	10.587
1034	37.535	-0.634
1035	38.583	9.337
1036	37.643	8.807
1037	38.852	9.477
1038	38.663	10.745
1039	37.051	-0.486
1040	38.248	11.335
1041	38.307	11.275
1042	37.632	8.827
1043	37.7	8.755
1044	38.093	8.382
1045	37.07	11.39
1046	37.399	-0.652
1047	37.534	-0.634
1048	37.613	8.842
1049	37.722	8.728
1050	38.638	10.775
1051	38.675	10.743
1052	38.422	9.237
1053	37.803	8.717
1054	38.537	9.302
1055	37.535	-0.634
1056	38.322	11.237
1057	38.648	10.758
1058	37.45	-0.641
1059	37.17	-0.528
1060	38.242	8.952
1061	37.468	-0.641
1062	40.07	1.35
1063	37.58	0.5
1064	35.57	-3.48
1066	39.118	2.942
1067	38.885	2.805
1068	39.093	2.937
1069	38.485	1.435
1070	38.486	1.447
1071	39.118	2.932
1072	38.365	1.412
1073	38.947	2.857
1074	37.893	1.424
1075	38.763	2.82
1076	38.726	2.807
1077	38.922	2.83
1078	38.246	1.449
1079	39.007	2.953
1080	38.886	2.818
1081	38.088	1.453
1082	38.433	1.417
1083	38.387	1.406
1087	38.24	13.1
1089	40.629	11.7
1090	38.47	14.57
1091	39.35	14.18
1092	40.15	13.47
1093	30.35	-11.08
1094	30.86	-11.07
1095	31.49	-11.01
1097	32.01	-11.94
1098	32.47	-13.66
1099	30.19	-10.82
1100	29.6	-10.95
1101	29.78	-11.19
1102	30.03	-11.55
1104	29.01	-12.46
1105	29.47	-12.99
1106	28.72	-13.01
1107	28.49	-13.18
1109	60.17	-79
1110	60.34	-81.99
1111	60.5	-85
1112	60.84	-87.45
1113	60.84	-87.45
1114	60.84	-90.01
1115	60.92	-91.78
1116	65.14	-81.35
1117	62.66	-75.49
