Obsname	tdjf	tmam	tjja	tson	tjjas	tjan	tfeb	tmar	tapr	tmay	tjun	tjul	taug	tsep	toct	tnov	tdec	ptotal	pdjf	pmam	pjja	pson	pjjas	pjan	pfeb	pmar	papr	pmay	pjun	pjul	paug	psep	poct	pnov	pdec	sann	sdjf	smam	sjja	sson	sjjas	sjan	sfeb	smar	sapr	smay	sjun	sjul	saug	ssep	soct	snov	sdec	gdd0	gdd5	mipt	aaetpt	apetpt	miptev	aaetptev	apetptev	miptdc	aaetptdc	apetptdc
WB161	-25.4	-9.93333333333333	9.5	-7.96666666666667	7.875	-26.3	-25.6	-20.5	-10.6	1.3	8.5	11.2	8.8	3	-7.7	-19.2	-24.3	275	46	38	125	66	37.5	16	15	15	13	10	25	46	54	25	22	19	15	41.425	39.8666666666667	53.1666666666667	39.3333333333333	33.3333333333333	38.35	34.8	51	56.2	54.2	49.1	43.6	40.7	33.7	35.4	32.1	32.5	33.8	954.7	368.3	0.6725	203.321	302.3401	0.699	193.632	277.0288	0.6908	143.07	207.1082
WB162	-24.9	-9.96666666666667	9.3	-7.8	7.75	-25.7	-25	-20.3	-10.7	1.1	8.2	10.9	8.8	3.1	-7.7	-18.8	-24	266	44	38	123	61	36.75	15	15	15	13	10	25	45	53	24	19	18	14	41.425	39.8666666666667	53.1666666666667	39.4	33.2666666666667	38.4	34.8	51	56.2	54.2	49.1	43.6	40.8	33.8	35.4	32	32.4	33.8	934.8	351.1	0.7385	221.8065	300.3284	0.7597	209.1006	275.2345	0.7603	155.4537	204.4723
WB163	-26.7333333333333	-9.6	10.2	-8.86666666666667	8.3	-28.1	-26.7	-21.1	-10.1	2.4	9.7	11.9	9	2.6	-8.4	-20.8	-25.4	288	49	40	129	70	38.5	18	15	16	13	11	29	46	54	25	25	20	16	41.325	39.4	53.2333333333333	39.3333333333333	33.3333333333333	38.35	35.2	50.2	56.2	54.2	49.3	43.5	40.7	33.8	35.4	31.5	33.1	32.8	1031	431.7	0.7027	219.779	312.7839	0.7395	211.1559	285.5299	0.7462	165.7426	222.1241
WB164	-25.4666666666667	-8.9	10.5666666666667	-7.9	8.75	-27	-25.4	-19.3	-9.5	2.1	9.9	12.2	9.6	3.3	-7.7	-19.3	-24	175	20	18	93	44	28.25	7	5	4	4	10	27	31	35	20	15	9	8	38.4083333333333	28.9666666666667	51.8	42.9333333333333	29.9333333333333	41.325	25.8	41.9	53.3	52.5	49.6	45.1	44.2	39.5	36.5	26.1	27.2	19.2	1075.3	467	0.5442	174.8969	321.4009	0.5884	174.4086	296.4116	0.5635	130.5345	231.6496
WB165	-28.7333333333333	-11.7333333333333	8.1	-11.4666666666667	6.1	-30	-28.8	-23.3	-12.3	0.4	7.9	9.7	6.7	0.1	-11	-23.5	-27.4	292	59	42	138	53	39.25	23	17	19	13	10	35	50	53	19	15	19	19	40.1833333333333	39.1333333333333	52.2666666666667	37.1333333333333	32.2	36.2	35.9	49.8	55.8	53.2	47.8	41.4	38.4	31.6	33.4	30.2	33	31.7	753.8	240.4	0.7937	229.5614	289.2206	0.8608	217.5452	252.7275	0.8973	156.7736	174.7196
WB166	-28.5666666666667	-11.1333333333333	8.73333333333333	-11.1	6.675	-29.9	-28.6	-22.9	-11.6	1.1	8.6	10.4	7.2	0.5	-10.6	-23.2	-27.2	296	58	43	137	58	39.5	22	17	19	13	11	35	49	53	21	17	20	19	40.3583333333333	39.0333333333333	52.4333333333333	37.5666666666667	32.4	36.625	35.7	49.7	55.8	53.4	48.1	41.8	38.8	32.1	33.8	30.3	33.1	31.7	830.2	294.1	0.8451	250.6333	296.571	0.8916	233.8026	262.2141	0.9119	171.7787	188.3739
WB167	-28.6666666666667	-11.7	8.1	-11.3666666666667	6.125	-29.9	-28.8	-23.3	-12.2	0.4	7.9	9.7	6.7	0.2	-10.9	-23.4	-27.3	292	58	42	138	54	39.25	22	17	19	13	10	35	50	53	19	16	19	19	40.2166666666667	39.1666666666667	52.2666666666667	37.2	32.2333333333333	36.275	35.8	49.9	55.8	53.2	47.8	41.4	38.5	31.7	33.5	30.2	33	31.8	755.3	240.5	0.7939	229.9069	289.5972	0.8613	217.8508	252.9373	0.8979	156.9851	174.8291
WB168	-28.5666666666667	-11.2	8.63333333333333	-11.1	6.6	-29.9	-28.6	-22.9	-11.7	1	8.5	10.3	7.1	0.5	-10.6	-23.2	-27.2	296	58	43	137	58	39.5	22	17	19	13	11	35	49	53	21	17	20	19	40.3333333333333	39.0333333333333	52.4333333333333	37.5	32.3666666666667	36.575	35.7	49.7	55.8	53.4	48.1	41.7	38.8	32	33.8	30.2	33.1	31.7	819.3	285.7	0.8604	253.6168	294.7815	0.9085	237.3309	261.2242	0.9352	173.3947	185.4107
WB169	-24.2	-6.5	11.8666666666667	-6.9	10.025	-25.2	-23.2	-17	-7	4.5	11.7	13.3	10.6	4.5	-7.1	-18.1	-24.2	216	34	25	102	55	32	12	9	8	7	10	25	36	41	26	14	15	13	41.475	37.4	53.8333333333333	40.7666666666667	33.9	39.85	34.5	47.7	56.4	54.5	50.6	44.4	42.2	35.7	37.1	29.8	34.8	30	1281.8	618.6	0.6383	215.41	337.4797	0.6645	209.6843	315.565	0.6638	174.7307	263.2367
WB170	-27.1	-9.4	11.3333333333333	-8.73333333333333	9.25	-29.7	-26.5	-19.9	-10.2	1.9	10.7	13.2	10.1	3	-8.4	-20.8	-25.1	201	23	24	102	52	31.25	7	6	7	6	11	29	32	41	23	18	11	10	37.3833333333333	26.6333333333333	51.0666666666667	43.3666666666667	28.4666666666667	41.475	23.3	40.5	52.4	51.9	48.9	45.2	44.6	40.3	35.8	24.9	24.7	16.1	1134	532	0.6179	200.8908	325.1124	0.6656	199.0499	299.0322	0.6629	158.427	238.9809
